200401 024657.821|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to /home/phamthainb/Desktop/ptit/c-ptit/pc2Client/bin/logs directory.
200401 024657.823|INFO|AWT-EventQueue-0|info|
200401 024657.823|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 11.0.6 build 5102 Linux 5.3.0-40-generic (amd64) 
200401 024657.824|INFO|AWT-EventQueue-0|info|Login: 835 (aka team835)
200401 024657.824|INFO|AWT-EventQueue-0|startLog|Working directory is /home/phamthainb/Desktop/ptit/c-ptit/pc2Client/bin
200401 024657.826|INFO|AWT-EventQueue-0|startLog|Process id is 6844@heyy
200401 024657.827|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.10.117:50002 as TEAM835 @ site 0
200401 024657.827|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM835 @ site 0
200401 024657.833|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM835 @ site 0 -> SERVER0 @ site 0
200401 024657.834|INFO|Thread-1|run|send(Serializable)
200401 024657.835|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM835 @ site 0 -> SERVER0 @ site 0
200401 024657.836|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200401 024658.009|INFO|Thread-0|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200401 024658.119|INFO|Thread-2|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #36294 SERVER0 @ site 1 -> TEAM835 @ site 1
200401 024658.120|INFO|Thread-2|dumpPacket|Packet LOGIN_SUCCESS (Seq #36294, o#36294 ) recieveObject
200401 024658.120|INFO|Thread-2|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-7332637654837334181)
200401 024658.121|INFO|Thread-2|dumpPacket|    To: TEAM835 @ site 1
200401 024658.121|INFO|Thread-2|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@1617d3c7
200401 024658.122|INFO|Thread-2|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200401 024658.122|INFO|Thread-2|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@18d02f75
200401 024658.122|INFO|Thread-2|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@1cefb8b7
200401 024658.122|INFO|Thread-2|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@59ed254e
200401 024658.123|INFO|Thread-2|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@71cc5c5f
